,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
73,40,-40,20,-40,-40,-40,40,0,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,20,80,6,-68,-68,-68,40,80,-80,-80,7,7,40,80,-80,-80,3,10
74,-20,-20,20,-20,-20,-76,20,0,-80,-80,-80,-80,20,80,3,-17,-19,-16,20,80,-45,-45,-45,-45,40,80,-34,-34,-19,4,-20,80,-8,-8,-76,10
75,-20,-20,-20,-40,-40,-20,20,0,20,-80,-80,-80,-20,-20,-20,-20,-20,-20,20,70,20,80,-80,-80,20,80,20,80,-80,-80,40,80,20,80,6,-80
76,40,-40,-20,-40,-40,-20,40,0,20,-80,-80,-80,-20,80,20,78,79,24,20,80,20,78,38,73,20,80,20,78,33,73,20,80,20,78,-4,73
77,-20,-20,-20,20,20,-40,20,0,20,-80,-80,-80,-20,80,20,-13,-11,-5,20,80,20,17,10,79,40,80,20,-22,-22,-6,40,80,20,17,18,79
78,-40,-40,-20,-40,-40,-20,40,0,20,-80,-80,-80,20,80,20,38,42,32,40,80,20,38,42,32,20,80,20,38,42,32,20,80,20,38,42,32
79,40,-40,-40,-20,-20,-40,40,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,-20,77,23,-80,-80,-80,80,80,23,-80,-74,-74,40,80,-78,-80,-76,-76
80,-40,-40,20,20,20,-40,40,0,-80,-80,-80,-80,20,80,2,-13,21,-4,40,80,2,80,45,80,40,80,-13,80,-6,-6,80,80,2,80,-18,-21
81,20,-40,20,20,20,-40,40,0,-80,-80,-80,-80,-20,-20,-20,-20,-20,-20,40,80,-80,-80,-80,-80,80,80,31,-4,9,20,40,80,-58,-3,-48,-48
82,20,-40,-20,-40,-40,-40,40,0,-80,-80,-80,-80,-20,80,-5,-9,-8,-2,40,80,3,3,-15,-15,40,80,4,4,9,9,40,80,4,4,9,10
83,20,-40,20,-20,-20,-40,40,0,-60,-60,-60,-60,20,44,-2,-2,8,13,40,40,-7,-7,-7,-7,80,30,14,14,19,19,40,30,14,14,19,19
84,20,-40,-40,-40,-40,-40,40,0,-80,-80,-80,-80,-20,74,-2,-11,-19,-19,40,80,-2,-20,17,-20,79,80,6,-24,-18,-18,40,80,16,-24,2,-23
85,20,-40,-20,-20,-20,-40,40,0,-80,20,20,20,20,-20,-20,-20,-20,-20,-20,80,9,20,20,20,40,80,9,20,20,20,-20,80,27,20,20,20
86,20,-40,-40,-20,-20,20,40,-32,20,-80,-80,-80,40,-20,-20,-20,-20,-20,40,80,20,80,80,-69,40,80,20,80,-26,-80,40,80,20,29,12,-80
87,20,-40,20,-40,-40,20,40,0,-80,-80,-80,-80,-20,80,-8,-2,-11,-57,80,80,-37,-11,-37,-11,80,80,-9,-54,-9,-64,80,80,-19,20,-25,-64
88,-20,-20,20,-20,-20,-40,20,0,20,-80,-80,-80,40,71,20,4,-4,-4,40,80,20,76,80,80,-20,80,20,76,80,80,40,80,20,76,80,80
89,-20,-20,-40,-40,-40,-20,20,-17,-80,-80,-80,-80,40,-20,-20,-20,-20,-20,20,79,5,9,13,13,40,80,5,23,28,28,20,80,5,23,28,28
90,20,-40,-20,-40,-40,-20,40,0,-80,-80,-80,-80,-20,80,-32,-37,-15,-32,20,80,-41,-41,-41,-41,20,80,26,-47,-47,-47,20,80,3,-47,-47,-47
