init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
40 13 27 23 43 31 12 7 50 8,10 46 42 3 1 5 52 38 16 49,48,21,0,1,8,27 1 14 30 31 22 13 41 43 7,10 46 42 3 52 16 49 29 20 23,0,0,3
14 8 15 52 16 47 31 7 32 36,50 20 9 44 42 12 51 52 33 43,0,48,0,1,5,31 32 8 7 9 15 28 16 47 35,50 20 44 42 51 52 33 43 49 52,2,0,1
26 38 50 46 40 21 3 6 11 19,51 47 41 29 7 42 37 52 52 16,28,53,0,1,2,26 38 27 40 3 6 19 46 50 47,47 41 29 42 37 52 52 16 11 21,0,0,3
19 52 32 38 21 44 18 6 16 11,28 23 41 47 10 17 33 39 52 4,8,5,0,1,3,52 44 18 19 32 6 21 11 24 16,28 23 41 47 10 17 52 4 30 49,0,0,3
34 38 30 5 12 28 4 31 50 0,6 52 48 8 49 1 18 43 22 16,39,0,22,0,3,38 12 0 13 4 5 28 30 31 29,6 52 48 8 49 18 43 16 50 41,1,1,1
13 41 48 35 47 5 31 4 7 32,17 49 12 28 22 40 52 10 23 39,43,2,0,1,4,4 5 7 30 31 32 48 35 22 13,17 49 12 40 52 10 23 39 41 0,1,1,1
52 38 42 31 16 14 41 28 9,25 26 37 49 23 36 29 0 51 48,27,14,0,1,3,52 42 16 31 14 34 1 41 28 4,25 37 49 23 36 51 48 24 50 38,3,0,0
39 7 18 8 33 46 47 21 50 15,9 25 1 27 35 26 38 5 52 31,17,25,0,1,4,7 33 46 8 47 21 39 18 19 32,9 1 27 35 26 38 52 0 2 48,2,0,1
46 41 28 10 47 3 40 42 39 38,50 18 20 12 49 27 35 33 16 45,4,5,0,1,11,41 40 42 46 47 52 44 48 0 14,50 18 20 49 33 16 15 43 7 30,0,2,1
43 24 51 18 34 20 52 12 49 35,29 36 30 1 39 13 21 3 27 5,9,0,32,0,4,52 51 12 35 44 47 46 43 4 17,29 30 1 39 13 21 3 27 2 41,0,1,2
6 36 25 12 47 29 14 34 37 42,28 16 52 52 44 46 48 2 18 32,1,2,0,1,11,36 14 37 29 42 3 6 45 27 13,28 16 52 52 44 46 2 18 15 41,0,2,1
44 25 33 6 30 41 11 4 46 40,39 42 22 43 36 23 18 31 47 16,28,5,0,1,9,41 33 35 36 46 47 52 49 26 40,42 22 43 23 18 31 52 21 44 5,1,1,1
16 10 35 3 19 47 28 25 46 5,36 32 39 6 49 0 50 11 14 52,51,28,0,1,7,16 3 29 25 36 23 43 5 18 19,32 39 6 49 0 50 52 47 38 26,0,1,2
