hand,wcj,minscore,mindist
52 16 6 39 10 19 11 5 20 43,4,22,2
24 52 32 28 12 41 47 44 13 4,7,53,4
16 19 29 11 28 10 42 32 52 40,47,23,2
14 39 15 3 34 28 11 22 18 17,40,41,4
22 48 17 42 44 43 5 30 40 23,19,52,3
30 22 35 18 41 14 40 21 52 5,2,22,2
28 18 22 44 51 21 9 12 47 34,10,58,3
3 29 13 15 2 19 38 1 21 52,39,19,2
45 9 21 8 24 11 31 49 52 41,37,29,3
19 51 14 52 49 47 7 17 43 28,6,26,3
7 22 28 52 3 11 17 8 40 34,39,47,5
29 38 0 27 12 9 23 15 31 35,5,44,3
31 41 33 22 6 19 42 24 18 3,29,27,2
5 13 41 28 30 1 42 25 16 36,33,56,4
20 18 40 27 26 7 8 47 16 31,29,40,3
13 51 29 25 50 30 34 14 18 17,1,46,3
13 11 31 18 43 6 1 8 38 32,9,60,4
23 43 2 3 15 20 18 25 52 32,9,43,3
35 26 51 52 3 28 37 4 21 52,46,26,2
45 26 20 11 17 36 34 50 18 49,24,20,2
51 44 15 42 7 27 52 14 18 43,37,29,2
35 10 30 18 44 28 19 42 29 52,6,25,2
30 51 1 40 52 41 24 44 11 12,13,43,2
31 19 24 39 15 22 47 12 11 26,10,60,4
48 21 29 11 35 30 37 23 32 13,27,60,3
10 21 52 52 13 4 19 42 33 25,23,20,2
50 30 8 4 24 41 40 6 13 52,42,39,3
27 31 19 12 45 11 17 5 43 1,35,60,4
5 52 40 51 19 48 42 52 35 26,27,22,3
49 17 13 4 33 1 51 25 22 47,42,60,4
48 13 42 35 20 26 5 45 30 38,40,60,4
7 29 0 1 3 17 51 8 43 18,11,60,3
52 2 45 14 31 26 12 10 43 17,21,36,3
1 0 46 51 14 2 21 23 16 35,8,39,3
16 10 6 11 23 27 52 12 34 8,9,26,3
1 10 52 5 24 25 19 6 48 22,42,46,3
31 21 14 12 18 17 8 50 6 51,46,60,4
47 39 7 4 52 42 36 35 17 6,41,43,3
36 30 22 51 42 48 37 45 19 25,18,60,4
16 37 7 9 39 1 6 14 52 24,50,5,1
33 39 16 45 17 32 11 6 23 30,0,34,2
52 8 22 10 16 38 25 44 19 34,13,60,3
42 39 12 28 20 0 45 25 23 21,37,60,3
31 0 8 21 18 52 41 2 10 28,48,26,2
3 22 40 42 41 49 1 46 13 36,9,19,2
52 1 38 22 16 31 34 2 33 29,41,23,2
52 42 3 47 32 44 21 41 14 52,18,15,2
3 10 44 0 2 27 52 19 33 14,24,40,3
24 32 9 22 44 17 23 39 46 1,30,23,3
24 52 17 27 45 33 36 49 32 42,0,49,3
26 46 10 25 49 30 33 21 40 13,29,60,4
30 21 34 33 52 6 1 26 50 43,32,24,3
29 30 32 49 44 19 2 8 42 27,15,43,2
19 32 43 9 14 52 13 15 0 26,34,20,2
35 11 44 45 43 16 30 12 39 22,42,28,2
26 12 30 17 33 39 37 9 4 23,24,39,2
25 46 52 30 38 0 14 26 37 29,44,37,3
1 0 7 25 24 31 11 21 50 8,14,28,3
52 52 2 12 32 19 13 5 38 23,36,13,1
52 2 11 44 48 16 4 31 7 29,32,49,3
8 43 30 47 37 11 17 32 45 14,19,3,1
24 6 38 12 36 50 9 33 52 37,44,37,2
28 43 31 7 50 46 45 20 0 17,23,43,3
7 47 48 21 52 49 19 51 9 23,1,37,2
40 29 7 34 38 3 35 20 33 47,8,13,1
25 51 46 17 50 23 20 38 32 39,43,30,3
28 47 38 32 36 30 7 20 5 8,44,56,3
15 46 13 30 41 23 40 50 49 37,3,60,4
39 38 26 10 47 11 42 17 52 18,21,19,2
7 51 35 52 21 24 10 52 31 9,37,27,2
52 13 21 42 2 24 41 0 8 19,12,35,3
52 16 35 25 22 7 19 27 46 49,26,54,3
28 3 4 52 35 49 32 34 17 19,21,29,2
39 50 18 48 6 25 14 24 52 31,10,47,3
40 6 48 28 38 22 23 14 26 9,45,16,1
20 4 29 11 34 52 15 26 47 52,43,20,2
12 46 25 17 47 49 2 52 52 51,37,10,1
24 4 35 28 7 5 30 25 20 6,40,49,2
42 20 18 14 21 7 48 6 34 52,15,45,3
41 51 21 19 11 44 31 40 52 24,2,27,2
6 52 15 52 34 36 7 27 31 16,25,19,2
46 22 52 44 37 29 11 18 38 30,21,54,3
27 12 31 19 23 34 9 41 46 28,32,59,4
23 16 26 24 14 10 39 30 52 21,29,19,2
0 36 18 23 52 16 1 45 7 40,48,37,3
6 9 4 48 32 47 8 52 29 39,17,15,2
30 35 34 1 38 12 14 40 0 22,37,52,3
2 30 9 35 32 13 29 17 49 6,40,60,4
22 37 35 0 31 27 33 19 11 1,12,60,4
24 0 4 26 20 5 30 10 37 34,28,60,4
22 16 18 25 23 13 30 43 21 2,48,40,3
52 18 51 24 28 46 9 50 43 12,34,56,3
45 36 52 38 0 43 32 31 39 4,2,39,3
6 16 37 2 52 9 45 34 35 27,3,17,2
38 2 3 32 45 33 18 28 5 36,24,60,3
15 33 31 32 7 51 6 44 16 39,26,26,2
34 50 52 16 33 32 41 10 6 45,46,29,3
16 37 48 27 50 46 42 6 26 21,22,42,3
29 5 43 13 52 7 26 6 25 20,40,22,2
11 15 30 50 13 35 46 52 2 40,19,38,4
8 20 15 0 22 12 39 44 19 43,49,60,3
50 36 2 49 51 12 8 44 48 30,10,27,3
20 22 48 36 32 17 52 35 52 12,15,28,2
30 25 19 15 33 46 52 27 29 50,9,46,3
30 38 50 2 48 1 15 18 44 23,39,60,4
52 52 8 51 27 11 44 1 31 21,9,26,2
12 2 44 48 25 21 28 24 51 8,45,55,3
38 7 47 1 45 46 27 9 41 18,16,46,3
52 36 16 42 13 38 28 39 25 48,34,38,3
26 39 52 23 33 24 35 12 14 13,10,23,2
33 7 22 44 28 3 45 26 0 27,11,50,3
39 3 10 6 45 49 11 12 35 51,9,23,2
16 41 23 19 47 14 52 8 20 13,3,19,2
43 15 23 39 19 3 44 16 38 45,25,24,3
