init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
60,43,mcts-0,Mindist + Opp,29,0,1
32,46,mcts-0,Mindist + Opp,0,13,0
60,39,mcts-0,Mindist + Opp,20,0,1
54,55,mcts-0,Mindist + Opp,60,0,1
28,30,mcts-0,Mindist + Opp,0,32,0
60,60,mcts-0,Mindist + Opp,10,0,1
51,60,mcts-0,Mindist + Opp,24,0,1
34,20,mcts-0,Mindist + Opp,23,0,1
35,17,mcts-0,Mindist + Opp,16,0,1
15,36,mcts-0,Mindist + Opp,0,17,0
32,47,mcts-0,Mindist + Opp,3,0,1
60,38,mcts-0,Mindist + Opp,41,0,1
19,60,mcts-0,Mindist + Opp,0,33,0
25,60,mcts-0,Mindist + Opp,0,49,0
60,27,mcts-0,Mindist + Opp,20,0,1
47,52,mcts-0,Mindist + Opp,4,0,1
44,60,mcts-0,Mindist + Opp,2,0,1
31,55,mcts-0,Mindist + Opp,33,0,1
