"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"4989",5358,"MCTS-50","MCTS-25",3,0,1,971,1038,0,4
"4990",3943,"MCTS-25","MCTS-50",0,6,0,1039,970,1,4
"4991",5754,"MCTS-50","MCTS-25",0,3,0,971,1038,1,6
"4992",5988,"MCTS-50","MCTS-25",15,0,1,969,1040,2,4
"4993",1962,"MCTS-0","MCTS-50",0,2,0,966,969,0,5
"4994",762,"MCTS-0","MCTS-25",0,60,0,978,1028,12,6
"4995",3040,"MCTS-25","MCTS-50",2,0,1,1028,969,0,6
"4996",3025,"MCTS-25","MCTS-50",0,60,0,1036,961,8,4
"4997",829,"MCTS-0","MCTS-25",60,0,1,970,1044,8,4
"4998",579,"MCTS-0","MCTS-25",34,0,1,966,1048,4,4
"4999",5868,"MCTS-50","MCTS-25",0,35,0,968,1041,7,6
"5000",2820,"MCTS-25","MCTS-0",8,0,1,1039,968,2,6
"5001",3134,"MCTS-25","MCTS-50",0,17,0,1041,966,2,4
"5002",4606,"MCTS-50","MCTS-0",0,7,0,967,967,1,5
"5003",5491,"MCTS-50","MCTS-25",19,0,1,964,1044,3,4
"5004",1136,"MCTS-0","MCTS-50",60,15,1,959,972,8,5
"5005",4000,"MCTS-25","MCTS-50",52,0,1,1034,982,10,6
"5006",3845,"MCTS-25","MCTS-50",15,0,1,1031,985,3,6
"5007",222,"MCTS-0","MCTS-25",37,0,1,954,1036,5,4
"5008",2510,"MCTS-25","MCTS-0",0,56,0,1043,947,7,4
"5009",822,"MCTS-0","MCTS-25",60,0,1,940,1050,7,4
"5010",3776,"MCTS-25","MCTS-50",60,0,1,1038,997,12,6
"5011",616,"MCTS-0","MCTS-25",42,0,1,935,1043,5,4
"5012",1365,"MCTS-0","MCTS-50",0,30,0,941,991,6,6
"5013",4763,"MCTS-50","MCTS-0",31,0,1,985,947,6,6
"5014",3590,"MCTS-25","MCTS-50",0,15,0,1045,983,2,4
"5015",1275,"MCTS-0","MCTS-50",4,0,1,946,984,1,4
"5016",1514,"MCTS-0","MCTS-50",60,0,1,937,993,9,4
"5017",2198,"MCTS-25","MCTS-0",8,0,1,1043,939,2,7
"5018",688,"MCTS-0","MCTS-25",45,0,1,934,1048,5,4
"5019",4515,"MCTS-50","MCTS-0",0,60,0,1001,926,8,4
"5020",4623,"MCTS-50","MCTS-0",47,0,1,992,935,9,6
"5021",4174,"MCTS-50","MCTS-0",0,60,0,1000,927,8,4
"5022",1928,"MCTS-0","MCTS-50",0,8,0,929,998,2,6
"5023",3841,"MCTS-25","MCTS-50",0,15,0,1050,996,2,4
"5024",4767,"MCTS-50","MCTS-0",6,0,1,995,930,1,6
"5025",843,"MCTS-0","MCTS-25",0,46,0,940,1040,10,7
"5026",1249,"MCTS-0","MCTS-50",16,0,1,938,997,2,4
"5027",5985,"MCTS-50","MCTS-25",0,13,0,999,1038,2,6
"5028",707,"MCTS-0","MCTS-25",60,0,1,931,1045,7,4
